amplitude_mae,amplitude_nrmse,amplitude_scale,center_shift_voxels,index,name,phase_offset_rad,phase_type,phase_wca,phase_wca_direct,phase_wca_inverted,shape_phase,shape_type,split,support_dice,support_iou,support_precision,support_recall,support_volume_ratio,threshold,twin_flip_selected,wrapped_phase_mae_rad
0.044444236904382706,0.10253862291574478,17.56815457422776,"[1, 1, -1]",61,sample_00061.npz,0.06701777875423431,double_cosine,0.9658809378743172,0.9658809378743172,0.966027520596981,random_polyhedron/double_cosine,random_polyhedron,evaluation,0.7689037351958701,0.6245683275777011,0.6825533750269571,0.8802670004171882,1.2896676401056877,0.15,False,1.2457178831100464
0.05015769973397255,0.1099628284573555,27.675746287983806,"[0, 0, 0]",62,sample_00062.npz,0.9399037957191467,gaussian_correlated,0.9307857751846313,0.9869250617921352,0.9307857751846313,random_polyhedron/gaussian_correlated,random_polyhedron,evaluation,0.7068882851206648,0.546656779137313,0.7352061170212766,0.6806709756848262,0.9258233302554633,0.15,True,0.8044145703315735
0.05653152987360954,0.09856857359409332,113.09072037520754,"[1, 1, 0]",63,sample_00063.npz,-1.2670776844024658,double_gaussian,0.6831298470497131,0.6831298470497131,0.7011881768703461,wulff/double_gaussian,wulff,evaluation,0.8413087934560327,0.7260854218143311,0.7836190476190477,0.9081677704194261,1.1589403973509933,0.15,False,0.40565961599349976
0.0443790927529335,0.1030833050608635,1.323105415802724,"[1, 0, 0]",64,sample_00064.npz,1.2205866575241089,double_cosine,0.9644575752317905,0.9644575752317905,0.9849237129092216,wulff/double_cosine,wulff,evaluation,0.7679621019387666,0.6233266875534036,0.8599214145383104,0.6937708036138849,0.8067839594230465,0.15,False,1.3157070875167847
0.048063673079013824,0.08758216351270676,42.68207882212765,"[-1, 1, 0]",65,sample_00065.npz,-0.6168472170829773,gaussian_correlated,0.6947614252567291,0.9579852931201458,0.6947614252567291,wulff/gaussian_correlated,wulff,evaluation,0.8285829632620105,0.7073338847532396,0.7596979567663606,0.9112058248978867,1.1994317172793465,0.15,True,0.4413800835609436
0.042408768087625504,0.1004888042807579,13.51050631866158,"[1, 0, 0]",66,sample_00066.npz,-1.1497607231140137,double_gaussian,0.958083014935255,0.958083014935255,0.9973041038028896,winterbottom/double_gaussian,winterbottom,evaluation,0.7640517437022467,0.6181907210184845,0.7564409826243259,0.7718172092312395,1.020327067094605,0.15,False,0.6540037393569946
0.046764180064201355,0.10312829911708832,14.902431319206961,"[0, -1, 0]",67,sample_00067.npz,-2.2233777046203613,double_cosine,0.9483652450144291,0.978995006531477,0.9483652450144291,winterbottom/double_cosine,winterbottom,evaluation,0.7366954583449429,0.5831495368328187,0.6561608139967738,0.839764967444815,1.2798157852945846,0.15,True,1.0594395399093628
0.04494219273328781,0.11413442343473434,1.842597392410035,"[1, 0, -1]",68,sample_00068.npz,1.9703656435012817,gaussian_correlated,0.9494970999658108,0.9494970999658108,0.999503324215766,winterbottom/gaussian_correlated,winterbottom,evaluation,0.6495200144901286,0.4809549356223176,0.7787187839305103,0.5570918129563461,0.7153953705142146,0.15,False,0.5923731327056885
0.0696307122707367,0.1409175992012024,41.28939325480653,"[0, 0, 1]",69,sample_00069.npz,-0.06334200501441956,double_gaussian,0.9266002178192139,0.9729997050017118,0.9266002178192139,random_polyhedron/double_gaussian,random_polyhedron,evaluation,0.7456483605451356,0.5944492254733219,0.826091289615308,0.6794819247479301,0.8225264365931634,0.15,True,0.7536389827728271
0.044835738837718964,0.10693270713090897,1.9410280817645609,"[1, 0, 0]",70,sample_00070.npz,-1.8606606721878052,double_cosine,0.9851061459630728,0.9872443918138742,0.9851061459630728,random_polyhedron/double_cosine,random_polyhedron,evaluation,0.6606711149792089,0.4932851985559567,0.7537511032656664,0.5880530211740402,0.7801687037355827,0.15,True,1.242345929145813
0.06644805520772934,0.13432645797729492,5.142887341542188,"[0, 1, 0]",71,sample_00071.npz,2.2996439933776855,gaussian_correlated,0.9795711897313595,0.9795711897313595,0.989897646009922,random_polyhedron/gaussian_correlated,random_polyhedron,evaluation,0.7678189817724701,0.6231381350744746,0.7537638831756479,0.7824081981212638,1.03800170794193,0.15,False,0.5745388865470886
