2026-08-31 23:40:45 | INFO    | Run=author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036 | model=reduced_bn_no_outer_skip | version=1.7.0 | commit=b12b8be13de4fc76790fa2c2d59c57df81597d98 | device=cuda | parameters=39,121,665 | train/val=80,531/3,383 | checkpoints=/data_ssd/oyys/autophasenn/autophasenn_pipeline_output/high_strain_cnn/author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036
2026-08-31 23:40:45 | INFO    | Data=author_npz | workers=4 | prefetch/worker=2 | fixed stored observations | precision=float32
2026-08-31 23:40:45 | INFO    | Author splits | original={'train': 80531, 'val': 3383, 'test': 2524} | eligible={'train': 80531, 'val': 3383, 'test': 2524} | excluded={'train': 0, 'val': 0, 'test': 0} | min oversampling (exclusive)=None
2026-09-01 00:02:46 | INFO    | TRAIN | epoch=001/030 | batch=02000/05033 | loss=7.312963e-01 | stage_elapsed=00:22:01 | stage_eta=00:33:24 | data_wait=3.80s
2026-09-01 00:03:21 | INFO    | TRAIN | epoch=001/030 | batch=02050/05033 | loss=7.203751e-01 | stage_elapsed=00:22:36 | stage_eta=00:32:54 | data_wait=3.81s
2026-09-01 00:03:54 | INFO    | TRAIN | epoch=001/030 | batch=02100/05033 | loss=7.688400e-01 | stage_elapsed=00:23:09 | stage_eta=00:32:20 | data_wait=3.82s
2026-09-01 00:04:28 | INFO    | TRAIN | epoch=001/030 | batch=02150/05033 | loss=7.100505e-01 | stage_elapsed=00:23:43 | stage_eta=00:31:48 | data_wait=3.83s
2026-09-01 00:05:01 | INFO    | TRAIN | epoch=001/030 | batch=02200/05033 | loss=6.558347e-01 | stage_elapsed=00:24:16 | stage_eta=00:31:14 | data_wait=3.85s
2026-09-01 00:05:34 | INFO    | TRAIN | epoch=001/030 | batch=02250/05033 | loss=6.673195e-01 | stage_elapsed=00:24:49 | stage_eta=00:30:41 | data_wait=3.86s
2026-09-01 00:06:08 | INFO    | TRAIN | epoch=001/030 | batch=02300/05033 | loss=7.137444e-01 | stage_elapsed=00:25:23 | stage_eta=00:30:10 | data_wait=3.87s
2026-09-01 00:06:40 | INFO    | TRAIN | epoch=001/030 | batch=02350/05033 | loss=7.787428e-01 | stage_elapsed=00:25:55 | stage_eta=00:29:36 | data_wait=3.89s
2026-09-01 00:07:13 | INFO    | TRAIN | epoch=001/030 | batch=02400/05033 | loss=6.922603e-01 | stage_elapsed=00:26:28 | stage_eta=00:29:02 | data_wait=3.91s
2026-09-01 00:07:45 | INFO    | TRAIN | epoch=001/030 | batch=02450/05033 | loss=7.354510e-01 | stage_elapsed=00:27:00 | stage_eta=00:28:28 | data_wait=3.92s
2026-09-01 00:08:16 | INFO    | TRAIN | epoch=001/030 | batch=02500/05033 | loss=7.234316e-01 | stage_elapsed=00:27:31 | stage_eta=00:27:52 | data_wait=3.93s
2026-09-01 00:08:50 | INFO    | TRAIN | epoch=001/030 | batch=02550/05033 | loss=7.237787e-01 | stage_elapsed=00:28:05 | stage_eta=00:27:21 | data_wait=3.94s
2026-09-01 00:09:24 | INFO    | TRAIN | epoch=001/030 | batch=02600/05033 | loss=7.010080e-01 | stage_elapsed=00:28:39 | stage_eta=00:26:48 | data_wait=3.95s
2026-09-01 00:09:58 | INFO    | TRAIN | epoch=001/030 | batch=02650/05033 | loss=6.451296e-01 | stage_elapsed=00:29:13 | stage_eta=00:26:16 | data_wait=3.96s
2026-09-01 00:10:32 | INFO    | TRAIN | epoch=001/030 | batch=02700/05033 | loss=7.076604e-01 | stage_elapsed=00:29:47 | stage_eta=00:25:44 | data_wait=3.97s
2026-09-01 00:11:02 | INFO    | TRAIN | epoch=001/030 | batch=02750/05033 | loss=7.026735e-01 | stage_elapsed=00:30:17 | stage_eta=00:25:09 | data_wait=3.99s
2026-09-01 00:11:34 | INFO    | TRAIN | epoch=001/030 | batch=02800/05033 | loss=6.846219e-01 | stage_elapsed=00:30:49 | stage_eta=00:24:35 | data_wait=4.01s
2026-09-01 00:12:07 | INFO    | TRAIN | epoch=001/030 | batch=02850/05033 | loss=7.225509e-01 | stage_elapsed=00:31:22 | stage_eta=00:24:01 | data_wait=4.02s
2026-09-01 00:12:41 | INFO    | TRAIN | epoch=001/030 | batch=02900/05033 | loss=6.626036e-01 | stage_elapsed=00:31:56 | stage_eta=00:23:29 | data_wait=4.04s
2026-09-01 00:13:15 | INFO    | TRAIN | epoch=001/030 | batch=02950/05033 | loss=7.254972e-01 | stage_elapsed=00:32:30 | stage_eta=00:22:57 | data_wait=4.05s
2026-09-01 00:13:47 | INFO    | TRAIN | epoch=001/030 | batch=03000/05033 | loss=7.131560e-01 | stage_elapsed=00:33:02 | stage_eta=00:22:23 | data_wait=4.06s
2026-09-01 00:14:20 | INFO    | TRAIN | epoch=001/030 | batch=03050/05033 | loss=7.058637e-01 | stage_elapsed=00:33:35 | stage_eta=00:21:50 | data_wait=4.07s
2026-09-01 00:14:55 | INFO    | TRAIN | epoch=001/030 | batch=03100/05033 | loss=6.780667e-01 | stage_elapsed=00:34:10 | stage_eta=00:21:18 | data_wait=4.08s
