name,real_amp_l1,real_amp_ssim,real_phase_mae_true_support,real_support_dice,real_support_iou,real_support_volume_ratio,threshold
val_diff_000013,0.004134264774620533,0.9658486843109131,0.24381740391254425,0.838441014289856,0.7218238711357117,1.2604392766952515,0.225
val_diff_000014,0.0019088988192379475,0.9879113435745239,0.14852403104305267,0.9477380514144897,0.9006674289703369,1.0884382724761963,0.225
val_diff_000015,0.002727010054513812,0.9814671874046326,0.2637244164943695,0.9015987515449524,0.8208281993865967,1.1807022094726562,0.225
val_diff_000000,0.004036108031868935,0.9743524193763733,0.15145662426948547,0.9602456092834473,0.923531174659729,1.0283312797546387,0.25
val_diff_000001,0.006481091491878033,0.9529455304145813,0.19148674607276917,0.9478532075881958,0.9008755087852478,1.0930805206298828,0.25
val_diff_000002,0.004460652358829975,0.9624417424201965,0.2205403745174408,0.8449411392211914,0.731513500213623,1.2295883893966675,0.25
val_diff_000003,0.0050786519423127174,0.9648637771606445,0.15501999855041504,0.896266758441925,0.8120320439338684,1.1852716207504272,0.25
val_diff_000004,0.002629062393680215,0.9791950583457947,0.26706013083457947,0.8613287806510925,0.7564332485198975,1.2430263757705688,0.25
val_diff_000005,0.004487208556383848,0.9703857898712158,0.18718881905078888,0.9399417638778687,0.886688768863678,1.0725430250167847,0.25
val_diff_000006,0.0032013566233217716,0.9802449941635132,0.11105494201183319,0.94246906042099,0.8911976218223572,1.081952452659607,0.25
val_diff_000007,0.004775502718985081,0.9696273803710938,0.22301897406578064,0.9075825214385986,0.8308019638061523,1.0750559568405151,0.25
val_diff_000008,0.0038373409770429134,0.9766666293144226,0.11351203173398972,0.9390261769294739,0.8850606679916382,1.048831582069397,0.25
val_diff_000009,0.005449752323329449,0.9601059556007385,0.1625344455242157,0.9224480986595154,0.8560590744018555,1.123481035232544,0.25
val_diff_000010,0.002364423591643572,0.9848996996879578,0.18235161900520325,0.9272369742393494,0.8643446564674377,1.102868914604187,0.25
val_diff_000011,0.003998125437647104,0.9676076173782349,0.4760030508041382,0.902851402759552,0.8229070901870728,1.1295002698898315,0.25
val_diff_000012,0.001466546324081719,0.9915915131568909,0.1757831573486328,0.9562780261039734,0.9162191152572632,1.0307341814041138,0.25
val_diff_000013,0.0040216343477368355,0.967077910900116,0.2314048707485199,0.8464066386222839,0.7337132096290588,1.2252559661865234,0.25
val_diff_000014,0.0018708121497184038,0.9886378049850464,0.1403912603855133,0.951350212097168,0.9072144031524658,1.0779476165771484,0.25
val_diff_000015,0.0025739017874002457,0.9836039543151855,0.23690012097358704,0.9181320667266846,0.8486544489860535,1.1397956609725952,0.25
val_diff_000000,0.003925556782633066,0.976111650466919,0.1439891755580902,0.9655529856681824,0.9334000945091248,1.012195110321045,0.275
val_diff_000001,0.006289470009505749,0.9566885828971863,0.1760846972465515,0.9583094716072083,0.9199560284614563,1.065469741821289,0.275
val_diff_000002,0.004268453922122717,0.9653456807136536,0.2269405573606491,0.8588767647743225,0.7526590824127197,1.180309534072876,0.275
val_diff_000003,0.004922516644001007,0.9666750431060791,0.15813803672790527,0.9056850075721741,0.8276273608207703,1.1553990840911865,0.275
val_diff_000004,0.0024956893175840378,0.9811748266220093,0.26455724239349365,0.8798729777336121,0.7855117917060852,1.1921887397766113,0.275
val_diff_000005,0.004334409721195698,0.9721819758415222,0.19132831692695618,0.9474155306816101,0.9000850319862366,1.0481209754943848,0.275
val_diff_000006,0.0031246680300682783,0.9815759062767029,0.10937691479921341,0.9485564231872559,0.9021467566490173,1.0587176084518433,0.275
val_diff_000007,0.004731622990220785,0.9699099063873291,0.21286837756633759,0.9097655415534973,0.8344678282737732,1.0619022846221924,0.275
val_diff_000008,0.003747548907995224,0.9776681065559387,0.11051337420940399,0.944774329662323,0.8953291773796082,1.0353528261184692,0.275
val_diff_000009,0.005178486928343773,0.9656956791877747,0.16037146747112274,0.9358545541763306,0.8794422745704651,1.0858638286590576,0.275
val_diff_000010,0.002307555405423045,0.9858047962188721,0.17505893111228943,0.9329321980476379,0.8742951154708862,1.0816805362701416,0.275
val_diff_000011,0.0038901502266526222,0.9689040780067444,0.4542253613471985,0.9141896963119507,0.8419423699378967,1.0970189571380615,0.275
val_diff_000012,0.001683017355389893,0.988242506980896,0.2080099880695343,0.9453977942466736,0.8964496850967407,1.0209228992462158,0.275
val_diff_000013,0.003939071204513311,0.9679511785507202,0.22177432477474213,0.8526021242141724,0.7430745363235474,1.19317626953125,0.275
val_diff_000014,0.0018316321074962616,0.989029049873352,0.13295432925224304,0.9549434185028076,0.9137719869613647,1.0652700662612915,0.275
val_diff_000015,0.0024712206795811653,0.984609067440033,0.2255304455757141,0.9284775853157043,0.8665032386779785,1.1011039018630981,0.275
val_diff_000000,0.0038849597331136465,0.9767591953277588,0.14540085196495056,0.9670790433883667,0.9362565875053406,0.9989520907402039,0.3
val_diff_000001,0.006171929184347391,0.9594391584396362,0.16437099874019623,0.9660437107086182,0.9343177080154419,1.0420340299606323,0.3
val_diff_000002,0.004131590947508812,0.9674973487854004,0.24499541521072388,0.8677170276641846,0.7663429379463196,1.1352449655532837,0.3
val_diff_000003,0.004763823933899403,0.9684099555015564,0.1617450714111328,0.9149594902992249,0.8432491421699524,1.1236306428909302,0.3
val_diff_000004,0.002411468653008342,0.9824112057685852,0.26291632652282715,0.8905003666877747,0.8026143908500671,1.1589040756225586,0.3
val_diff_000005,0.004235888831317425,0.9733308553695679,0.1931108832359314,0.9517155289649963,0.9078790545463562,1.0267096757888794,0.3
val_diff_000006,0.0031079535838216543,0.9816802144050598,0.10680963844060898,0.9493592381477356,0.90360027551651,1.045742154121399,0.3
val_diff_000007,0.00471277441829443,0.9697796702384949,0.20504245162010193,0.9098844528198242,0.8346679210662842,1.0492810010910034,0.3
val_diff_000008,0.0036839377135038376,0.9781174063682556,0.11076591163873672,0.9486910700798035,0.9023904204368591,1.0199426412582397,0.3
val_diff_000009,0.004975456744432449,0.9693233966827393,0.15915654599666595,0.9454874396324158,0.8966109156608582,1.0574753284454346,0.3
val_diff_000010,0.002228714991360903,0.9868409037590027,0.17192292213439941,0.9410416483879089,0.8886483907699585,1.0622373819351196,0.3
val_diff_000011,0.0038370839320123196,0.9690893292427063,0.45332619547843933,0.9176938533782959,0.8479059338569641,1.0808053016662598,0.3
val_diff_000012,0.001682525034993887,0.988028347492218,0.20270220935344696,0.9446918368339539,0.8951810598373413,1.0176811218261719,0.3
val_diff_000013,0.003920190501958132,0.9679546356201172,0.2230295091867447,0.850629985332489,0.7400836944580078,1.1841380596160889,0.3
val_diff_000014,0.0017819430213421583,0.9892956614494324,0.1261487752199173,0.9591593742370605,0.9215237498283386,1.0577352046966553,0.3
val_diff_000015,0.0024382169358432293,0.9845823049545288,0.22373661398887634,0.9306761026382446,0.8703407049179077,1.0859475135803223,0.3
val_diff_000000,0.0038673607632517815,0.9764910936355591,0.14588482677936554,0.9673119187355042,0.9366931915283203,0.9861258268356323,0.35
val_diff_000001,0.006081777159124613,0.9615965485572815,0.15271711349487305,0.9686407446861267,0.9391884803771973,1.015284538269043,0.35
val_diff_000002,0.0040184976533055305,0.9692107439041138,0.28313782811164856,0.8825812339782715,0.7898392677307129,1.0785895586013794,0.35
val_diff_000003,0.004590154159814119,0.9704975485801697,0.16161884367465973,0.9229834675788879,0.856981635093689,1.0845471620559692,0.35
