name,normal_paper_modulus_mae,recalibrated_paper_modulus_mae,delta_paper_modulus_mae,normal_chi2_modulus,recalibrated_chi2_modulus,delta_chi2_modulus,normal_pearson_corr,recalibrated_pearson_corr,delta_pearson_corr,normal_real_amp_l1,recalibrated_real_amp_l1,delta_real_amp_l1,normal_real_amp_ssim,recalibrated_real_amp_ssim,delta_real_amp_ssim,normal_real_support_iou,recalibrated_real_support_iou,delta_real_support_iou,normal_real_support_dice,recalibrated_real_support_dice,delta_real_support_dice,normal_real_support_volume_ratio,recalibrated_real_support_volume_ratio,delta_real_support_volume_ratio,normal_real_phase_mae_true_support,recalibrated_real_phase_mae_true_support,delta_real_phase_mae_true_support
val_diff_001230,4.365479469299316,4.37183952331543,0.006360054016113281,0.017637286335229874,0.017619533464312553,-1.775287091732025e-05,0.990932285785675,0.9910023808479309,7.009506225585938e-05,0.006579226814210415,0.006494713947176933,-8.45128670334816e-05,0.954438328742981,0.9549323916435242,0.0004940629005432129,0.7464872598648071,0.7506596446037292,0.004172384738922119,0.8548442125320435,0.8575734496116638,0.0027292370796203613,1.2297050952911377,1.2190635204315186,-0.01064157485961914,0.26662513613700867,0.26891499757766724,0.0022898614406585693
val_diff_001231,4.19411563873291,4.200812339782715,0.0066967010498046875,0.032558415085077286,0.03217727318406105,-0.00038114190101623535,0.9830361008644104,0.9832424521446228,0.00020635128021240234,0.00669719185680151,0.006451067514717579,-0.00024612434208393097,0.948574423789978,0.9513323903083801,0.0027579665184020996,0.7139569520950317,0.7137425541877747,-0.00021439790725708008,0.8331095576286316,0.8329635262489319,-0.00014603137969970703,1.218114972114563,1.2109320163726807,-0.007182955741882324,1.0309178829193115,0.9631357192993164,-0.06778216361999512
val_diff_001232,4.264944076538086,4.275717735290527,0.010773658752441406,0.019516710191965103,0.019688164815306664,0.00017145462334156036,0.9900802969932556,0.9900564551353455,-2.384185791015625e-05,0.00959592591971159,0.009550024755299091,-4.5901164412498474e-05,0.9401572942733765,0.9399184584617615,-0.00023883581161499023,0.777996838092804,0.7785393595695496,0.0005425214767456055,0.8751385807991028,0.8754817247390747,0.00034314393997192383,1.2254911661148071,1.2163803577423096,-0.009110808372497559,0.36188632249832153,0.37066450715065,0.008778184652328491
val_diff_001233,3.626009941101074,3.6218936443328857,-0.0041162967681884766,0.019772903993725777,0.019881566986441612,0.00010866299271583557,0.9897348284721375,0.9897483587265015,1.3530254364013672e-05,0.004927875008434057,0.004829356912523508,-9.851809591054916e-05,0.9629797339439392,0.9635842442512512,0.0006045103073120117,0.6894075274467468,0.6973061561584473,0.00789862871170044,0.8161530494689941,0.821662187576294,0.005509138107299805,1.3678913116455078,1.3465023040771484,-0.021389007568359375,0.33864837884902954,0.34313902258872986,0.004490643739700317
val_diff_001234,4.002843856811523,4.002229690551758,-0.000614166259765625,0.019181611016392708,0.019242582842707634,6.097182631492615e-05,0.9901948571205139,0.9903011918067932,0.00010633468627929688,0.0071045937947928905,0.007016991265118122,-8.760252967476845e-05,0.9513112902641296,0.9518394470214844,0.0005281567573547363,0.6960536241531372,0.7010994553565979,0.005045831203460693,0.820792019367218,0.8242897987365723,0.003497779369354248,1.352868914604187,1.334795594215393,-0.018073320388793945,0.37215670943260193,0.37846851348876953,0.0063118040561676025
val_diff_001235,4.215865135192871,4.222049236297607,0.006184101104736328,0.024754980579018593,0.025263605639338493,0.0005086250603199005,0.9878572821617126,0.9878423810005188,-1.4901161193847656e-05,0.0069442978128790855,0.0068850647658109665,-5.923304706811905e-05,0.9519503712654114,0.952346682548523,0.00039631128311157227,0.7067244648933411,0.7145515084266663,0.007827043533325195,0.8281646966934204,0.8335142135620117,0.005349516868591309,1.3405979871749878,1.3238472938537598,-0.016750693321228027,0.360183984041214,0.36843520402908325,0.008251219987869263
val_diff_001236,3.3846912384033203,3.3951826095581055,0.010491371154785156,0.022040102630853653,0.022216474637389183,0.0001763720065355301,0.9884387254714966,0.9883459806442261,-9.274482727050781e-05,0.003057862166315317,0.003082038601860404,2.417643554508686e-05,0.9763600826263428,0.9761659502983093,-0.00019413232803344727,0.7481604814529419,0.748684823513031,0.0005243420600891113,0.8559402823448181,0.8562833070755005,0.00034302473068237305,1.2564338445663452,1.2405024766921997,-0.015931367874145508,0.40807485580444336,0.4148559272289276,0.006781071424484253
val_diff_001237,3.320631504058838,3.330925464630127,0.010293960571289062,0.0158125888556242,0.016099700704216957,0.0002871118485927582,0.9919713735580444,0.9919642210006714,-7.152557373046875e-06,0.0019016441656276584,0.0019130142172798514,1.137005165219307e-05,0.9860435128211975,0.9858747124671936,-0.00016880035400390625,0.6962342858314514,0.689393937587738,-0.006840348243713379,0.8209176063537598,0.8161435127258301,-0.0047740936279296875,1.2104688882827759,1.1886587142944336,-0.021810173988342285,0.3119252324104309,0.3230472207069397,0.011121988296508789
val_diff_001238,3.773451805114746,3.790452480316162,0.017000675201416016,0.017144465819001198,0.017412835732102394,0.0002683699131011963,0.9911657571792603,0.991105854511261,-5.990266799926758e-05,0.0035406462848186493,0.00423999410122633,0.0006993478164076805,0.9754486083984375,0.9682769775390625,-0.007171630859375,0.7966735363006592,0.8050028681755066,0.008329331874847412,0.8868317008018494,0.8919684886932373,0.0051367878913879395,1.2264937162399292,1.2058823108673096,-0.02061140537261963,0.3341745436191559,0.31826314330101013,-0.015911400318145752
val_diff_001239,3.6717441082000732,3.691465139389038,0.019721031188964844,0.02852627821266651,0.029722265899181366,0.0011959876865148544,0.9857919216156006,0.9855836033821106,-0.00020831823348999023,0.004359006881713867,0.0043125273659825325,-4.6479515731334686e-05,0.9657897353172302,0.9658898711204529,0.00010013580322265625,0.6331374049186707,0.6383271813392639,0.005189776420593262,0.7753633260726929,0.7792426347732544,0.0038793087005615234,1.4359406232833862,1.4039109945297241,-0.03202962875366211,0.4364125728607178,0.43436551094055176,-0.0020470619201660156
